회사명,상장일,시장구분,대표주관회사,기존분류,재분류,근거문구
아이엠비디엑스,2024-04-03,코스닥,미래에셋증권 주식회사,기술특례,기술평가특례,"7차 기업실사 2023.05.10. - 기술평가 신청(SCI평가정보, 한국평가데이터) 8차 기업실사 2023.06.23. - 기술평가 등급 수령(SCI평가정보: A, 한국평가데이터: A) 9차 기업실사 2023.06.26 미래에셋증권 본사 기업공개를 위한 사전준비"
제일엠앤에스,2024-04-30,코스닥,KB증권(주),이익미실현,일반,
디앤디파마텍,2024-05-02,코스닥,한국투자증권(주),기술특례,기술평가특례,"전문평가 기관의 평가를 받아 기술력과 성장성을 인정받는 일련의 절차와는 무관하며, 나아가 금번 전문평가기관의 의견이 기존의 기술평가 등급이 유효하지 않다는 것을 의미하거나 해당 기관의 기존 의견을 소급하는 것 또한 아니라는 것을 투자자께서는 유의하여 주시기 바랍"
민테크,2024-05-03,코스닥,KB증권(주),기술특례,기술평가특례,"당사는 「코스닥시장 상장규정」제30조제1항에 의하여 상장되는 기술성장기업으로 동 규정 제53조(관리종목) 제1항제1호 및 제2호, 제54조(상장의 폐지) 제1항제3호 및 제4호에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를"
코칩,2024-05-07,코스닥,한국투자증권(주),일반,일반,
HD현대마린솔루션,2024-05-08,유가증권,"신한투자증권 주식회사,하나증권주식회사,유비에스증권 리미티드 서울지점,CS증권 서울지점,제이피모간증권회사 서울지점,KB증권(주)",일반,일반,
아이씨티케이,2024-05-17,코스닥,엔에이치투자증권(주),기술특례,기술평가특례,"당사는 기술성장기업으로 동 규정 제53조(관리종목) 제1항 제1호 및 제2호, 제54조(상장의 폐지) 제1항 제3호 및 제4호 에 따라 관리종목 지정과 상장폐지 요건 중 매출액 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 5개 사업연도, 법인세비용차감전계속사업손실 요건은 신규상장일이 속하는 사업연도를 포함한 연속하는 3개 사업연도 동안 해당 요건을"
노브랜드,2024-05-23,코스닥,삼성증권(주),일반,일반,
그리드위즈,2024-06-14,코스닥,삼성증권(주),일반,일반,
라메디텍,2024-06-17,코스닥,대신증권(주),기술특례,기술평가특례,": 김경순 본부장 , 김정헌 팀장 , 정창언 책임 , 박경근 책임 , 이진욱 선임 3. 내용 (1) 상장예비심사신청을 위한 기술평가 등급수령 (이크레더블 , 한국기술신용평가 ) (2) DD 체크리스트 작성 및 수정 (3) 상장예비심사신청서 작성 및 수정 25 2"
씨어스테크놀로지,2024-06-19,코스닥,한국투자증권(주),기술특례,기술평가특례,"/ 서비스의 사업화 수준 , 제품 / 서비스의 경쟁력을 감안 시 시장성은 양호한 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업 대비 높고 기술환경변화에 제한적으로 영향을 받을 수 있는 수준이며 미래 성장 가능성이 높은 수준인 A 로"
파라다이스,2024-06-24,유가증권,,일반,일반,
한중엔시에스,2024-06-24,코스닥,,기술특례,기술평가특례,"제품 / 서비스의 사업화 수준 , 제품 / 서비스의 경쟁력을 감안시 시장성은 보통 수준으로 평가됨 . 이에 따라 동사의 최종 기술평가등급은 기술력이 동종기업과 동등하고 기술환경변화에 보통 이상의 영향을 받을 수 있는 수준이며 미래 성장가능성이 다소 낮은 수준인"
