회사명,상장일,시장구분,DB분류,growth,bizmodel,tech,noprofit,문서
한국바이오젠,2019-08-01,코스닥,일반,0,0,5,0,20190722000212.xml
덕산테코피아,2019-08-02,코스닥,일반,0,0,4,1,20190722000077.xml
코윈테크,2019-08-05,코스닥,일반,0,0,2,1,20190723000079.xml
케어룸의료산업,2019-08-05,코스닥,(NULL),0,0,0,0,
그린플러스,2019-08-07,코스닥,일반,0,0,0,0,
레이,2019-08-08,코스닥,일반,0,0,4,0,20190725000037.xml
에스피시스템스,2019-08-14,코스닥,일반,0,0,0,0,20190801000090.xml
나노브릭,2019-08-19,코스닥,기술특례,0,0,7,2,20190806000214.xml
마니커에프앤지,2019-08-20,코스닥,일반,0,0,3,6,20190805000100.xml
네오크레마,2019-08-22,코스닥,일반,0,0,4,0,20190809000198.xml
아퓨어스,2019-09-03,코스닥,(NULL),0,0,0,0,
한독크린텍,2019-09-05,코스닥,일반,0,0,1,0,20190826000173.xml
라닉스,2019-09-18,코스닥,기술특례(성장성),21,0,57,2,20190903000126.xml
올리패스,2019-09-20,코스닥,기술특례(성장성),6,0,40,7,20190904000196.xml
엔지브이아이,2019-09-30,코스닥,(NULL),0,0,0,0,
